question|Qtype
Which country invented paper?|mcq
Which scientist discovered penicillin?|mcq
Which planet is closest to the Sun?|mcq
Which element has the atomic number 6?|mcq
Which organ filters blood in the human body?|mcq
Which device is used to measure temperature?|mcq
Which gas is most abundant in Earth’s atmosphere?|mcq
Which programming language is primarily used for web pages?|mcq
Which country built the Great Wall?|mcq
Which metal is known for its conductivity?|mcq
Which scientist proposed the theory of relativity?|mcq
Which planet is known for its rings?|mcq
Which country uses the yen as currency?|mcq
Which element is essential for respiration?|mcq
Which organ controls the human body?|mcq
Which technology is used to store data in blocks?|mcq
Which country is known for the Taj Mahal?|mcq
Which gas is released during photosynthesis?|mcq
Which component executes instructions in a computer?|mcq
Which field studies living organisms?|mcq
Which planet is known as the Red Planet?|mcq
Which system controls hormones in the body?|mcq
Which country is known for Mount Fuji?|mcq
Which device connects multiple networks together?|mcq
Which metal is used in electrical wiring?|mcq
Which element is used in making glass?|mcq
Which scientist discovered gravity?|mcq
Which organ is responsible for breathing?|mcq
Which part of a plant conducts photosynthesis?|mcq
Which network connects computers globally?|mcq
Which country is known for the Amazon rainforest?|mcq
Which unit measures electric current?|mcq
Which component stores temporary data in a computer?|mcq
Which field studies matter and energy?|mcq
Which country is known for pyramids?|mcq
Which element is represented by Na?|mcq
Which organ produces insulin?|mcq
Which process converts food into energy?|mcq
Which programming language is object-oriented?|mcq
Which planet has the largest size?|mcq
Which country is known for the Eiffel Tower?|mcq
Which gas is required for combustion?|mcq
Which device is used to measure pressure?|mcq
Which element is used in batteries?|mcq
Which scientist invented the telephone?|mcq
Which organ pumps blood?|mcq
Which system protects the body from disease?|mcq
Which technology enables wireless communication?|mcq
Which country is known for kangaroos?|mcq
Which element is the lightest?|mcq
Which country developed the first printing press?|mcq
Which scientist formulated the laws of motion?|mcq
Which planet has the strongest gravity in the solar system?|mcq
Which element is commonly used in fertilizers?|mcq
Which organ produces bile in the human body?|mcq
Which device is used to measure electrical resistance?|mcq
Which gas is responsible for global warming?|mcq
Which programming language is widely used for data science?|mcq
Which country is famous for the Colosseum?|mcq
Which metal is primarily used in aircraft manufacturing?|mcq
Which scientist is associated with quantum mechanics?|mcq
Which planet rotates the fastest?|mcq
Which country uses the euro as currency?|mcq
Which element is necessary for strong bones?|mcq
Which organ controls breathing automatically?|mcq
Which technology enables secure digital payments?|mcq
Which country is known for maple syrup?|mcq
Which gas is used in fire extinguishers?|mcq
Which component manages memory in a computer?|mcq
Which branch studies the Earth’s structure?|mcq
Which planet has the longest day?|mcq
Which system regulates body temperature?|mcq
Which country is known for the Alps?|mcq
Which device connects a computer to the internet?|mcq
Which metal is used in making coins?|mcq
Which element is essential for DNA structure?|mcq
Which scientist developed calculus?|mcq
Which organ stores glucose in the body?|mcq
Which process releases energy from food?|mcq
Which protocol is used for web communication?|mcq
Which country is known for tulips?|mcq
Which unit measures power?|mcq
Which component performs arithmetic operations?|mcq
Which branch studies chemical reactions?|mcq
Which country is known for ancient ruins of Machu Picchu?|mcq
Which element is used in semiconductors?|mcq
Which organ detoxifies chemicals in the body?|mcq
Which process converts liquid to gas?|mcq
Which language is used for mobile app development?|mcq
Which planet is known for its extreme temperatures?|mcq
Which country pioneered the use of zero in mathematics?|mcq
Which scientist introduced the concept of natural selection?|mcq
Which planet has the highest number of rings?|mcq
Which element is commonly used in electrical cables?|mcq
Which organ regulates blood sugar levels?|mcq
Which instrument measures wind speed?|mcq
Which gas is primarily responsible for ozone layer formation?|mcq
Which programming paradigm focuses on objects?|mcq
Which country is famous for the Leaning Tower?|mcq
Which metal is used in making airplanes lightweight?|mcq
Which scientist discovered electromagnetic induction?|mcq
Which planet has the shortest year?|mcq
Which country uses the pound sterling?|mcq
Which element is vital for muscle contraction?|mcq
Which organ controls voluntary movements?|mcq
Which technology is used for contactless payments?|mcq
Which country is known for its fjords?|mcq
Which gas is used in neon lights?|mcq
Which component controls the execution of programs?|mcq
Which branch studies fossils?|mcq
Which planet has the strongest winds?|mcq
Which system controls body movements?|mcq
Which country is known for the Andes mountains?|mcq
Which device converts digital signals to analog?|mcq
Which metal is used in jewelry due to its shine?|mcq
Which element is used in making fertilizers?|mcq
Which scientist discovered the nucleus?|mcq
Which organ helps maintain balance in the body?|mcq
Which process produces ATP in cells?|mcq
Which protocol is used for file transfer?|mcq
Which country is known for its wine production?|mcq
Which unit measures voltage?|mcq
Which component stores permanent data?|mcq
Which branch studies the atmosphere?|mcq
Which country is known for the Great Barrier Reef?|mcq
Which element is used in solar panels?|mcq
Which organ produces digestive enzymes?|mcq
Which process converts solid to gas directly?|mcq
Which language is commonly used for backend development?|mcq
Which planet is known for its thick atmosphere?|mcq 
What is the main function of the brain?|fact
Who invented the telephone?|fact
What is the chemical symbol of oxygen?|fact
Which country is known for sushi?|fact
What is the boiling point of water?|fact
Who discovered gravity?|fact
What is the capital of Germany?|fact
Which planet is the largest?|fact
What is the unit of force?|fact
Who invented the internet?|fact
What is the largest organ in the human body?|fact
Which country is known for the Great Wall?|fact
What is the speed of light?|fact
Who discovered penicillin?|fact
What is the function of the liver?|fact
Which metal is used in coins?|fact
What is the unit of power?|fact
Who invented the printing press?|fact
What is the main gas in the atmosphere?|fact
Which country is known for pyramids?|fact
What is the function of the lungs?|fact
Who invented the computer?|fact
What is the unit of energy?|fact
Which element is used in fertilizers?|fact
What is the function of the heart?|fact
Who invented electricity?|fact
What is the unit of temperature?|fact
Which country is known for coffee?|fact
What is the function of the kidneys?|fact
Who discovered the electron?|fact
What is the main function of mitochondria?|fact
Who developed the theory of evolution?|fact
What is the chemical symbol for sodium?|fact
Which country is known for pasta cuisine?|fact
What is the freezing point of water?|fact
Who invented the steam engine?|fact
What is the capital of Italy?|fact
Which planet has the most moons?|fact
What is the unit of electric current?|fact
Who discovered radioactivity?|fact
What is the function of white blood cells?|fact
Which country is known for the Sydney Opera House?|fact
What is the SI unit of pressure?|fact
Who invented the light bulb?|fact
What is the function of the pancreas?|fact
Which metal is used in batteries?|fact
What is the unit of frequency?|fact
Who invented the airplane?|fact
What is the role of hemoglobin?|fact
Which country is known for chocolate production?|fact
What is the function of the digestive system?|fact
Who discovered the neutron?|fact
What is the SI unit of work?|fact
Which element is used in nuclear fuel?|fact
What is the function of the skeletal system?|fact
