question|score
What is AI?|2
Who built the Taj Mahal?|2
What is the capital of India?|2
What is photosynthesis?|3
What is water cycle?|3
What is gravity?|3
What is computer?|2
What is internet?|2
What is machine learning?|3
What is data?|2
Why do we need oxygen?|4
Why is sky blue?|4
Why is India diverse?|5
Why do plants need sunlight?|4
Why is water important?|4
Why do we sleep?|4
Why is education important?|5
Why do leaves fall?|4
Why is Earth round?|4
Why do seasons change?|5
How do plants grow?|5
How does gravity work?|6
How does internet work?|6
How do airplanes fly?|6
How do humans breathe?|5
How does photosynthesis occur?|6
How do computers process data?|6
How do ecosystems function?|6
How does the brain work?|7
How does electricity flow?|6
Explain artificial intelligence|8
Explain machine learning|7
Explain deep learning|8
Explain globalization impact|9
Explain climate change|8
Explain economic development|9
Explain renewable energy|8
Explain photosynthesis process|7
Explain data science|8
Explain cloud computing|8
Discuss climate change effects|9
Discuss environmental conservation|8
Discuss importance of education|8
Discuss role of government|9
Discuss global economy|9
Discuss social media impact|8
Discuss urbanization effects|9
Discuss technological advancements|9
Discuss health care systems|8
Discuss population growth|9
Analyze causes of World War 2|9
Analyze global warming|10
Analyze economic policies|10
Analyze industrial revolution|9
Analyze climate change impact|10
Analyze social inequality|10
Analyze digital transformation|9
Analyze education systems|9
Analyze political systems|10
Analyze environmental policies|10
What is software?|2
What is hardware?|2
What is database?|3
What is network?|3
What is operating system?|3
What is programming?|3
What is algorithm?|3
What is compiler?|3
What is RAM?|2
What is CPU?|2
Why do computers need memory?|4
Why is programming important?|5
Why use internet?|4
Why is data important?|5
Why use databases?|5
Why do networks exist?|4
Why learn coding?|5
Why use operating systems?|4
Why are algorithms needed?|5
Why use cloud computing?|6
How does CPU work?|6
How does RAM function?|5
How do databases store data?|6
How do networks communicate?|6
How does operating system manage resources?|7
How do compilers work?|6
How does encryption work?|7
How do APIs work?|7
How does blockchain work?|8
How does machine learning work?|8
Explain software development lifecycle|8
Explain object oriented programming|8
Explain database management systems|8
Explain network protocols|8
Explain cyber security basics|8
Explain artificial neural networks|9
Explain big data analytics|9
Explain distributed systems|9
Explain microservices architecture|9
Explain internet of things|8
Discuss software engineering principles|9
Discuss agile methodology|8
Discuss system design concepts|9
Discuss cyber security threats|9
Discuss data privacy issues|9
Discuss cloud architecture|9
Discuss AI ethics|10
Discuss blockchain applications|9
Discuss automation impact|9
Discuss future of technology|10
Analyze system performance|9
Analyze database optimization|9
Analyze network security|10
Analyze cloud scalability|10
Analyze AI models|10
Analyze big data systems|10
Analyze distributed computing|10
Analyze software architecture|9
Analyze cyber attacks|10
Analyze digital ecosystems|10
